Nome: SAO PAULO(MIR.de SANTANA)
Codigo Estacao: 83781
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.16
Situacao: Operante
Data Inicial: 1945-11-30
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
1972-09-30;10;112.4;23.343333;18.095333;14.676667;81.041667;
1972-10-31;10;206.7;24.464516;19.24;15.73871;81.322581;
1972-11-30;16;159.9;25.036667;20.222;16.99;84.508333;
1972-12-31;14;138.7;26.770968;21.616774;17.958065;81.282258;
1973-01-31;18;256.8;28.441935;23.02;19.651613;80.75;
1973-02-28;15;171.6;29.832143;23.693571;19.592857;78.741071;
1973-03-31;15;121.8;25.851613;21.07871;17.664516;84.290323;
1973-04-30;10;88.2;27.683333;22.390667;19.086667;84.216667;
1973-05-31;11;58.9;22.851613;17.729677;13.683871;82.580645;
1973-06-30;8;29.7;24.04;17.915333;12.963333;77.291667;
1973-07-31;8;86.7;22.922581;17.087097;12.993548;78.120968;
1973-08-31;9;17.7;21.109677;15.90129;12.512903;81.790323;
1973-09-30;11;77.7;22.063333;16.880667;13.56;83.433333;
1973-10-31;13;130.3;23.8;18.044516;14.145161;81.306452;
1973-11-30;10;195.4;24.076667;18.521333;14.633333;80.133333;
1973-12-31;18;216.4;26.277419;21.377419;18.045161;80.967742;
1974-01-31;20;251.8;26.951613;21.924516;18.551613;82.104839;
1974-02-28;11;147.4;29.414286;22.939286;18.728571;77.482143;
1974-03-31;16;299.9;26.887097;21.566452;18.309677;83.274194;
1974-04-30;6;61.2;23.81;18.832;15.67;82.675;
1974-05-31;6;8.1;23.2;17.734194;13.841935;76.669355;
1974-06-30;13;123.5;19.97;15.265333;12.013333;82.083333;
1974-07-31;4;.4;22.754839;16.384516;12;76.653226;
1974-08-31;4;3;24.31;17.205161;12.7;71.66129;
1974-09-30;9;43.3;24.26;17.516667;13.373333;78.641667;
1974-10-31;11;174.4;24.213333;17.709032;13.870968;83.425;
1974-11-30;11;127.7;26.39;20.024667;15.263333;74.308333;
1974-12-31;19;178.2;24.241935;20.139355;17.4;84.717742;
1975-01-31;20;155.3;26.609677;21.425806;17.909677;82.556452;
1975-02-28;16;331.8;28.242857;22.69;19.135714;81.375;
1975-03-31;10;38.5;27.854839;22.364516;18.812903;79.935484;
1975-04-30;8;24.3;24.643333;18.788;15.016667;84.325;
1975-05-31;8;32.4;21.783871;16.769032;13.580645;85.225806;
1975-06-30;2;3.7;21.843333;16.214;12.38;85.925;
1975-07-31;5;75.9;21.025806;14.64;10.219355;84.185484;
1975-08-31;2;.4;26.506452;19.463871;14.625806;74.266129;
1975-09-30;10;42.1;24.636667;18.572667;14.963333;81.441667;
1975-10-31;15;137.7;24.832258;18.880645;15.622581;84.685484;
1975-11-30;17;220.9;24.526667;20.03;16.816667;85.025;
